Country/Region,unit,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China,MtCO2e,40.2,42.7,45.3,47.8,50.2,52.6,54.9,57.2,59.5,61.7,63.9,66,68.1,70.1,72.1,74,75.9,77.8,79.6,81.3,83,84.7,86.5,88.3,90.1,91.9,93.7,95.4,97,98.5,99.9,101,102,104,105,106,107,108,109,110,112,113,113,114,115,116,117,118,118,119,120,121,123,126,127,129,145,146,153,153,152,163,147,149,155,158,162,166,169,174,179,181,186,197,205,209,212,222,228,234,239,244,244,249,258,268,277,275,272,286,308,334,344,333,339,298,285,294,291,333,359,395,443,479,540,606,668,741,1040,1250,1320,1110,1000,1020,1040,1100,1170,1090,1130,1240,1480,1610,1690,1740,1760,1950,2010,2150,2330,2390,2370,2350,2500,2620,2800,2950,3070,3270,3460,3540,3600,3740,3870,4050,4300,4650,4850,4820,4680,4770,4890,5000,5420,6200,7020,7780,8530,9060,9660,10100,11000,12100,12400,12500,12600,12600,12700
United States,MtCO2e,214,225,231,240,248,260,266,270,274,283,290,289,296,313,324,328,332,363,386,413,427,441,494,527,524,535,537,574,574,646,699,728,785,829,862,877,914,960,1100,1030,1130,1160,1190,1200,1180,1250,1260,1280,1340,1430,1480,1550,1610,1760,1770,1890,1960,2150,2010,2150,2270,2270,2380,2500,2390,2460,2630,2810,2900,2630,2910,2590,2600,3070,2860,2910,3050,3000,2970,3100,2880,2610,2370,2460,2550,2600,2820,2900,2620,2780,3000,3190,3380,3490,3720,3690,3640,3930,4080,3710,4070,4170,4140,4220,4110,4390,4570,4560,4460,4560,4640,4640,4740,4880,5010,5150,5330,5490,5630,5840,6160,6130,6360,6640,6420,6160,6420,6540,6710,6770,6520,6310,5960,5980,6190,6150,6120,6340,6580,6660,6510,6450,6560,6670,6770,6850,7040,7100,7160,7190,7350,7230,7260,7300,7430,7430,7360,7450,7240,6780,7010,6850,6610,6780,6830,6700,6570
India,MtCO2e,61.1,67.9,74.5,81,87.4,93.6,99.7,106,112,118,123,128,134,139,144,149,154,159,163,168,172,177,181,186,190,195,199,203,207,210,214,217,220,223,226,228,231,233,236,238,241,242,244,246,247,249,251,253,254,256,259,261,263,263,265,266,269,272,276,275,275,277,283,287,290,293,296,299,305,310,303,306,304,304,305,302,300,300,297,299,300,298,298,301,310,316,320,329,339,342,347,348,350,344,346,353,353,356,357,362,369,375,383,389,398,411,420,437,448,459,475,493,509,523,527,542,556,564,586,597,601,613,632,642,648,681,697,717,724,745,761,800,807,847,871,915,956,986,1050,1120,1150,1200,1250,1280,1330,1390,1470,1510,1530,1600,1640,1630,1620,1670,1740,1790,1870,1970,2110,2270,2250,2360,2510,2510,2710,2770,2870
Russia,MtCO2e,60,60.5,60.9,61.4,61.9,62.3,62.7,63.1,63.4,63.7,64.1,64.4,64.6,64.8,65.1,65.3,66.6,67.1,67,67.8,68.3,69.6,70.7,71.9,74.2,76.5,79.3,81.2,84.3,85.8,87.9,89.1,90.2,92,92.8,94.3,95.1,96.4,97.5,99.1,101,105,109,114,116,122,124,130,135,141,147,149,149,149,154,150,156,162,163,167,166,169,178,187,184,183,191,190,160,161,161,165,173,179,189,193,212,229,239,249,279,302,320,340,374,402,435,447,466,475,526,500,435,486,483,499,534,592,622,674,725,771,820,871,942,1040,1130,1230,1310,1380,1450,1510,1590,1680,1760,1850,1960,2050,2120,2210,2340,2480,2560,2720,2840,2990,3140,3260,3560,3350,3450,3420,3490,3540,3570,3760,3760,3860,4250,4190,3780,3570,3020,2820,2520,2460,2400,2280,2260,2280,2280,2340,2350,2430,2480,2510,2570,2580,2600,2490,2600,2670,2720,2640,2650,2660,2670
Japan,MtCO2e,14.2,14.2,14.3,14.4,14.5,14.7,14.8,15,15.1,15.3,15.5,15.7,15.9,16.1,16.3,16.6,16.8,17.1,17.4,17.7,18,18.3,18.6,19,20,21.3,21.6,21.9,22.9,23.8,24.2,24.7,25.2,25.8,26.4,27.3,27.9,29.3,30.4,32,33.2,35,35.3,36.2,39.1,40.8,42,43.1,47.5,48,50.7,55.3,57.6,59.1,63.1,64.7,68.4,71.4,74.8,76.2,78.1,84,90.2,96.6,102,97.2,104,115,120,129,124,116,121,125,128,130,130,139,140,142,133,126,128,145,159,168,183,196,205,203,231,233,226,229,217,152,127,146,165,177,182,206,215,234,233,236,259,292,288,303,349,403,418,454,493,525,562,640,720,820,936,962,1020,1090,1080,1030,1070,1110,1070,1130,1120,1100,1060,1050,1110,1080,1080,1070,1160,1200,1270,1290,1300,1290,1360,1380,1390,1380,1330,1360,1380,1350,1380,1380,1370,1380,1360,1400,1320,1250,1300,1360,1400,1410,1360,1330,1310
Brazil,MtCO2e,2.11,2.2,2.3,2.4,2.51,2.63,2.75,2.88,3.01,3.14,3.28,3.42,3.57,3.73,3.89,4.06,4.23,4.41,4.59,4.78,4.98,5.19,5.43,5.68,5.95,6.23,6.51,6.8,7.08,7.37,7.64,7.91,8.18,8.46,8.73,9.02,9.31,9.6,9.9,10.2,11.2,11.5,11.9,12.3,12.9,13.6,14.3,15.1,15.9,16.8,18,19.3,21.3,23.3,25.6,28.1,30.8,33.1,35.1,36.6,38,39,40.5,41.4,40.2,39.7,39.9,40,40.1,41.1,41.8,41.3,42.2,43,43.4,43.7,43.8,44.4,44.4,45,44.6,43.8,44.6,46.1,47.2,49.4,50.6,53,54.7,56.2,58.3,59.9,61.8,65,67.3,71.4,75.3,80.1,82.5,85.5,100,107,116,125,139,154,167,177,190,199,213,225,236,246,255,265,279,290,309,325,337,348,373,394,414,427,453,473,482,505,528,514,512,504,531,543,571,590,599,612,606,630,640,654,674,700,707,735,753,773,803,821,839,866,900,916,922,927,956,942,1000,1010,1040,1050,1080,1070,1050
Germany,MtCO2e,48.1,50,52.7,54.6,58.7,63.4,66.2,68.8,72.1,70.9,74.2,79.9,84.9,89.6,97.8,106,106,113,120,124,124,134,142,150,124,156,159,159,163,171,187,198,209,220,226,231,234,243,261,275,283,299,298,307,320,332,353,372,387,406,431,432,427,452,465,492,472,552,557,556,557,570,610,645,608,573,610,633,612,498,540,584,569,450,570,579,538,612,635,671,597,523,487,506,551,596,645,710,749,797,803,811,819,833,760,285,438,486,548,604,684,752,789,807,848,917,965,983,968,973,1040,1060,1120,1180,1210,1210,1210,1200,1260,1330,1300,1310,1310,1360,1340,1270,1360,1310,1340,1390,1360,1310,1270,1250,1280,1290,1290,1270,1260,1250,1260,1210,1160,1150,1130,1130,1150,1110,1090,1060,1060,1070,1050,1040,1030,1000,1010,983,984,916,953,931,935,951,912,915,918
Iran,MtCO2e,2.78,2.85,2.92,2.98,3.05,3.12,3.18,3.24,3.31,3.37,3.42,3.48,3.54,3.59,3.65,3.7,3.76,3.81,3.86,3.92,3.97,4.04,4.11,4.2,4.29,4.38,4.48,4.58,4.67,4.75,4.82,4.88,4.94,5,5.05,5.11,5.17,5.22,5.28,5.34,5.52,5.56,5.62,5.68,5.74,5.81,5.88,5.95,6.02,6.1,6.18,6.27,6.38,6.5,6.63,6.76,6.9,7.01,7.12,7.21,7.28,7.46,7.62,8.26,8.62,8.89,9.54,10.4,11.1,12,13.2,15.2,17.6,20.4,23,24.3,25.9,28.3,30.1,30.1,32.2,32.2,34.9,37.5,39.4,39.8,42.6,49.4,50.2,49.3,47.1,41.9,52.1,54.8,68.1,81.7,91.6,97.4,115,124,42.8,52.1,52.6,56,57.2,76.3,88,91.9,101,106,124,130,137,145,158,173,195,212,244,265,292,325,354,417,433,391,446,442,433,347,247,227,310,313,263,267,255,265,276,302,382,405,410,402,447,445,451,440,463,532,525,548,553,589,634,660,709,726,740,753,774,790,816,839,869,868,876
South Korea,MtCO2e,1.41,1.53,1.66,1.78,1.9,2.02,2.13,2.24,2.35,2.46,2.56,2.66,2.76,2.86,2.96,3.05,3.14,3.23,3.31,3.4,3.48,3.56,3.65,3.73,3.82,3.9,3.98,4.06,4.14,4.21,4.27,4.33,4.39,4.44,4.49,4.54,4.59,4.63,4.67,4.71,4.91,4.95,4.99,5.04,5.1,5.16,5.23,5.3,5.38,5.46,5.54,5.63,5.73,5.84,5.96,6.1,6.26,6.43,6.61,6.8,7,7.2,7.44,7.69,8.03,8.36,8.56,8.84,9.14,9.52,9.97,10.4,11.1,11.9,12.7,14,14.9,15.7,16.5,17.2,17.4,17.6,18,18.3,18.9,19.3,19.8,20,21.7,23.2,25.9,26.8,28.2,27.9,29,23.1,17.2,17.9,19,19.8,20.1,21.3,22.4,24.4,25.7,27.9,30,31.7,33.5,36.7,38.8,41.2,45.2,50.2,52.2,56.3,62.4,68.6,70.6,77.9,90.5,95.6,98.2,114,119,126,138,152,158,180,181,186,188,204,228,249,254,262,292,305,316,337,357,393,417,450,484,514,443,481,517,529,554,564,573,580,582,596,609,613,672,700,707,715,710,721,732
Mexico,MtCO2e,0.75,0.78,0.81,0.85,0.88,0.92,0.96,0.99,1.03,1.07,1.11,1.16,1.2,1.24,1.29,1.33,1.38,1.43,1.48,1.53,1.59,1.64,1.71,1.78,1.86,1.94,2.02,2.11,2.19,2.27,2.34,2.41,2.49,2.56,2.64,2.71,2.79,2.87,2.95,3.03,3.54,3.6,3.72,3.79,3.93,4.05,4.3,4.58,4.83,5.07,5.49,6.09,6.74,7.55,8.5,9.38,10.4,11.6,13.5,14.1,14.9,18.7,19.6,22.9,22.7,27,30.3,38.2,42.6,51.3,79.1,90.2,86.7,76.3,73.3,65,55.5,45.8,39.9,38.7,37.7,35.3,35.4,36.5,39,41.7,43.2,46.5,47.2,47.1,48.8,49.8,48.9,51.1,54.5,59.2,64.5,70.6,74.6,76.6,77,87,92.5,95.5,99.9,111,117,134,147,160,167,164,155,168,186,183,196,204,212,225,248,259,255,255,286,302,325,302,351,355,390,421,475,413,388,392,381,395,380,422,423,436,437,444,470,458,481,504,529,517,550,541,537,548,578,587,609,639,676,657,673,684,680,670,684,684,718
Others,MtCO2e,483.35,486.34,497.61,512.79,550.96,554.71,576.68,580.54,584.2,607.36,648.93,666.28,675.43,695.98,718.91,748.96,766.19,790.12,793.76,814.57,833.68,860.97,902.3,932.41,941.78,967.85,993.41,1007.95,1023.72,1046.3,1118.93,1132.67,1158.6,1195.74,1200.89,1205.02,1219.14,1247.98,1293.3,1322.62,1354.63,1390.39,1404.47,1385.99,1465.23,1491.58,1533.29,1592.97,1616.37,1686.57,1727.09,1744.41,1760.25,1807.71,1829.21,1867.96,1955.24,2038.46,2083.87,2088.09,2144.72,2184.64,2216.64,2345.15,2211.45,2191.85,2258.7,2229.56,2171.06,2104.08,2278.93,2130.9,2319.4,2443.4,2550.6,2570,2437.9,2773.8,2800.1,2954,2920.1,2848.1,2770.1,2810.6,2923.5,2989.8,3063.8,3204.1,3185.2,3241.2,3344.9,3345.6,3335,3476.2,3456.1,3387.6,3844.4,4130,4245.9,4434.1,4471.1,4663.6,4826.5,4899.1,5207.2,5430.8,5686,5922.4,6014.5,6173.3,6483.2,6723.8,7049.8,7353.8,7708.8,8045.7,8379.6,8691.4,9118.4,9570.1,10115.5,10467.4,10947.8,11628,11660,11573,12141,12244,12642,13038,12973,12462,12228,12179,12369,12704,12863,13092,13393,13599,13203,13532,12996,13047,12882,13087,13377,13507,13562,13537,13805,14041,14137,14713,15045,15367,15578,15769,16005,15629,16168,16145,16382,16235,16295,16582,16786